Event,Description,Event Start Year,Default Value ,Appointments,Domestic,Elections,Foreign Policy,Economic,Justice,Military,Misc
John Jay as 1st Chief Justice,"Jay declined Washington's offer of Sec of State because he wanted this position, and so he got it. As the Judiciary was formulating, not many groundbreaking cases occurred. Jay's most notable service as Chief Justice was extracurricular work, such as operating as acting Sec of State and as chief negotiator of the Jay Treaty. He resigned from the court to run for governor of NY. Jay had experience as a respected lawyer in NY. ",1789,3,x,,,,,x,,
Chisholm v. Georgia,Presided as the Supreme Court set the precedence the states were subject for federal judicial review. This was probably the most important case of Washington's presidency. ,1793,5,,,,,,x,,
John Rutledge as Assoc Justice,"Rutledge had legal experience and was educated at Middle Temple in London. However, he resigned in 1791 before he heard any cases. He enslaved humans like many powerful men from South Carolina did at the time.",1789,3,x,,,,,x,,
"John Rutledge as 2nd Chief Justice, but confirmation rejected.","Rutledge had been an Associate Justice of the SC, but he had resigned before hearing a case. Now, about 4 years late, he's made Chief Justice during a recess appointment. While he did hear some cases as Chief Justice, when Congress returned to session to vote on his appointment, they blocked the confirmation. This was mostly due to his vocal opposition of the Jay Treaty, made while he held office. The Federalists spread rumors, which may or may not have been true, that Rutledge suffered from both mental illness and alcoholism. He was Chief justice for just over 4 months. ",1795,3,x,,,,,x,,
William Cushing as Assoc Justice,"Cushing held strong Federalist views and served the court until 1810. His most notable individual action was declining to become the 3rd Chief Justice of the Supreme Court after he had already been nominated and confirmed. He chose to stay at Assoc Justice. He had been a major justice in Massachusetts as early as 1772. He swore Washington in for his 2nd term becoming the first SC Justice to swear in a president, since the SC didn't exist in the previous inauguration. ",1790,3,,,,,,x,,
James Wilson as Assoc Justice,"The Scottish-born Wilson served until 1798. He had been a law professor at what is now UPenn. Toward the end of his career on the Court, he would elect to ride the circuit in the South to avoid his creditors. Nevertheless, he spent time in debtor's prison on two occasions while serving in office. ",1789,3,,,,,,x,,
John Blair Jr as Assoc Justice,"Blair was a London-educated lawyer who served until 1795, but he heard only 13 cases during his time on the court. ",1790,3,,,,,,x,,
James Iredell as Assoc Justice,Iredell was an English-born lawyer who served until 1799. He was only 38-years-old on appointment. ,1790,3,,,,,,x,,
Thomas Johnson as Assoc Justice,"Johnson had been the senior justice for the state of Maryland before his appointment. He served less than two years, resigning because of health in 1793. He did offer the first opinion ever in a SC case, a dissenting opinion in Georgia v. Brailsford that established that a state could sue the Supreme Court. ",1791,3,,,,,,x,,
William Paterson as Assoc Justice,"Paterson had served as Att Gen for New Jersey. He served, upholding a Federalist interpretation of government, until 1806. ",1793,3,,,,,,x,,
Samuel Chase as Assoc Justice,"Chase had served as Chief Justice in Maryland before moving to the US Court, where he served until 1811. His most notable moments came during the Jefferson administration, when his pro-Federalist sympathies led him to behave more like a prosecutor than a judge in a case involving a man with a Jeffersonian point of view. As such, the Jeffersonian house voted to impeach Chase, but he was acquitted. ",1796,3,,,,,,x,,
Oliver Ellsworth as the 3rd Chief Justice,"Ellsworth had experience as a judge and was arguably the chief architect of the Judicial Act of 1789 while serving as a US Sen. The Ellsworth Court saw few cases. His most notable actions while as Chief Justice was going overseas as an envoy to sign the Convention of 1800 with France, after which he soon resigned from the court. He also swore John Adams in as president, becoming the first justice to swear in a president that didn't nomination him. He's also the first Chief Justice to swear in a president. ",1796,3,,,,,,x,,
"John Pickering, the Judge who woule be impeached","Pickering was only a US District judge, but he's the first federal office holder to be impeached, convicted, and removed from office. During the Jefferson administration, evidence was sent by the president that Pickering allegedly had been drunk or was otherwise in mental decline since about 1800. His condition allegedly led to ""unlawful"" rulings. Federalists argued Jefferson was just trying to get another Federalist off the bench. Pickering was impeached in 1803 and removed in early 1804 in absentia. He died the next year.  ",1795,1,,,,,,x,,
"Ad libs ""So Help Me God""","Ad libs ""So Help Me God"" at end of inauguration oath, making that a precedence",1789,1,,,,,,,,x
Funding Act of 1790,"This was part of the Compromise of 1790, by which Hamilton and his supporters agreed to move the capital to the South in exchange for Jefferson and Madison's supporters agreeing to allow the Federal Governing to assume state debts. By taking on the debt of all the various states, the Federal Government could better take on credit and it bounded the states more firmly to the federal government. ",1790,25,,,,,x,,,
